id,name,sub_type,place,type
AberdUn,University of Aberdeen,college|school,"Aberdeen, Aberdeenshire, Scotland",education
AbingSch,Abingdon School,grammarschool|school,"Abingdon-on-Thames, Oxfordshire, England-",education
AckworSch,"Ackworth School, Yorkshire",dissentingacademy|school,"Ackworth, Yorkshire, England",education
AddiscCol,"Royal Indian Military College, Addiscombe",military|school,"Addiscombe, Surrey, England",education
AllSoulsOx,"All Souls College, Oxford",college|school,"Oxford, Oxfordshire, England",education
ApplebyGS,Appleby grammar school,grammarschool|school,"Appleby, Westmorland, England",education
BalliOx,"Balliol College, Oxford",college|school,"Oxford, Oxfordshire, England",education
BathGS,Bath grammar school,grammarschool|school,"Bath, Somersetshire, England",education
BlunTiv,"Blundell's School, Tiverton",grammarschool|school,"Tiverton, Devonshire, England",education
BostonLatin,Boston Latin School,grammarschool|school,"Boston, Massachusetts",education
BrasOx,"Brasenose College, Oxford",college|school,"Oxford, Oxfordshire, England",education
BrisBapAc,Bristol Baptist College,dissentingacademy|school,"Bristol, Gloucestershire, England",education
BristolGS,Bristol Grammar School,grammarschool|school,"Bristol, Gloucestershire, England",education
BuryStEd,Bury St Edmunds grammar school,grammarschool|school,"Bury St Edmunds, Suffolk, England",education
Cam,Cambridge University,grammarschool|school,"London, England",education
CharterSch,Charterhouse School,grammarschool|school,"London, England",education
CheamSch,Cheam School,grammarschool|school,"Cheam, Surrey, England",education
ChChOx,"Christ Church, Oxford",college|school,"Oxford, Oxfordshire, England",education
ChigwSch,Chigwell School,grammarschool|school,"Chigwell, Essex, England",education
ChrCam,"Christ's College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
ChrHosp,Christ's Hospital,grammarschool|school,"London, England",education
ClareCam,"Clare College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
ColumbCol,Columbia College,college|school,"New York, New York",education
CorChCam,"Corpus Christi College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
CorChOx,"Corpus Christi College, Oxford",college|school,"Oxford, Oxfordshire, England",education
DartmCol,Dartmouth College,college|school,"Hanover, New Hampshire",education
DaventAc,Daventry Academy,dissentingacademy|school,"Daventry, Northamptonshire, England",education
DerbyGS,Derby grammar school,grammarschool|school,"Derby, Derbyshire, England",education
DouaiCol,"English College, Douai",college|school,"Douai, France",education
DowCam,"Downing College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
DurhamGS,Durham grammar school,grammarschool|school,"Durham, County Durham, England",education
EdinAc,Edinburgh Academy,grammarschool|school,"Edinburgh, Scotland",education
EdinHS,Edinburgh high school,grammarschool|school,"Edinburgh, Scotland",education
EdinUn,Edinburgh University,college|school,"Edinburgh, Scotland",education
EmmCam,"Emmanuel College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
EnfielGS,Enfield grammar school,grammarschool|school,"Enfield, Middlesex, England",education
EtonCol,Eton College,grammarschool|school,"Eton, Berkshire, England",education
ExeterGS,Exeter grammar school,grammarschool|school,"Exeter, Devonshire, England",education
ExetOx,"Exeter College, Oxford",college|school,"Oxford, Oxfordshire, England",education
FelstedSch,Felsted School,grammarschool|school,"Felsted, Essex, England",education
GlasgGS,Glasgow grammar school,grammarschool|school,"Glasgow, Lanarkshire, Scotland",education
GlasgUn,Glasgow University,college|school,"Glasgow, Lanarkshire, Scotland",education
GonvCam,"Gonville and Caius College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
GosportAc,Gosport Naval Academy,military|school,"Gosport, Hampshire, England",education
GraysInn,Gray's Inn,law|school,"London, England",education
GreenwichAc,Greenwich Academy,grammarschool|school,"Greenwich, Kent, England",education
HackneyNC,"New College, Hackney",dissentingacademy|school,"Hackney, Middlesex, England",education
HaileybuCol,"East India College, Haileybury",college|school,"Haileybury, Hertfordshire, England",education
HarrowSch,Harrow School,grammarschool|school,"Harrow, Middlesex, England",education
HartHaOx,"Hart Hall, Oxford",college|school,"Oxford, Oxfordshire, England",education
HarvardCol,Harvard College,college|school,"Boston, Massachusetts",education
HawksheadGS,Hawkshead grammar school,grammarschool|school,"Hawkshead, Lancashire, England",education
HertOx,"Hertford College, Oxford",college|school,"Oxford, Oxfordshire, England",education
HiWycoCol,"Royal Military College, High Wycombe",military|school,"High Wycombe, Buckinghamshire, England",education
HomertonCol,"Independent College, Homerton",dissentingacademy|school,"Homerton, Middlesex, England",education
HoxtonAc,Hoxton Academy,dissentingacademy|school,"Hoxton, Middlesex, England",education
HullGS,Hull grammar school,grammarschool|school,"Hull, Yorkshire, England",education
HydeAbbey,"Hyde Abbey, Winchester",grammarschool|school,"Winchester, Hampshire, England",education
InnerTemp,Inner Temple,law|school,"London, England",education
JesusCam,"Jesus College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
JesusOx,"Jesus College, Oxford",college|school,"Oxford, Oxfordshire, England",education
KingEdwBirm,"King Edward's School, Birmingham",grammarschool|school,"Birmingham, Warwickshire, England",education
KingsAb,"King's College, Aberdeen",college|school,"Aberdeen, Aberdeenshire, Scotland",education
KingsCam,"King's College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
KingsCanter,"King's School, Canterbury",grammarschool|school,"Canterbury, Kent, England",education
KingsLynnGS,King's Lynn grammar school,grammarschool|school,"King's Lynn, Norfolk, England",education
KingsLon,"King's College, London",college|school,"London, England",education
KingstonGS,Kingston grammar school,grammarschool|school,"Kingston Upon Thames, Surrey, England",education
KingswdSch,Kingswood School,dissentingacademy|school,"Bristol, Gloucestershire, England",education
LeedsGS,Leeds grammar school,grammarschool|school,"Leeds, Yorkshire, England",education
LichfGS,Lichfield grammar school,grammarschool|school,"Lichfield, Staffordshire, England",education
LincInn,Lincoln's Inn,law|school,"London, England",education
LincOx,"Lincoln College, Oxford",college|school,"Oxford, Oxfordshire, England",education
LiskrdGS,Liskeard grammar school,grammarschool|school,"Liskeard, Cornwall, England",education
LouthGS,Louth grammar school,grammarschool|school,"Louth, Lincolnshire, England",education
MacclGS,Macclesfield grammar school,grammarschool|school,"Macclesfield, Cheshire, England",education
MagdCam,"Magdalene College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
MagHallOxf,"Magdalen Hall, Oxford",college|school,"Oxford, Oxfordshire, England",education
MagdOx,"Magdalen College, Oxford",college|school,"Oxford, Oxfordshire, England",education
ManchCol,"Manchester College, York",dissentingacademy|school,"York, Yorkshire, England",education
ManchGS,Manchester grammar school,grammarschool|school,"Manchester, Lancashire, England",education
MarischalCol,"Marischal College, Aberdeen",college|school,"Aberdeen, Aberdeenshire, Scotland",education
MarlboroGS,Marlborough grammar school,grammarschool|school,"Marlborough, Wiltshire, England",education
MarlowRMC,"Royal Military College, Great Marlow",military|school,"Great Marlow, Buckinghamshire, England",education
MaynooCol,"St Patrick's College, Maynooth",college|school,"Maynooth, County Kildare, Ireland",education
MerTaylor,Merchant Taylors' School,grammarschool|school,"London, England",education
MertOx,"Merton College, Oxford",college|school,"Oxford, Oxfordshire, England",education
MiddleTemp,Middle Temple,school,"London, England",education
MileEndAc,Mile End Academy,dissentingacademy|school,"Mile End, Middlesex, England",education
NewcastleGS,Newcastle grammar school,grammarschool|school,"Newcastle Upon Tyne, Northumberland, England",education
NewCollOx,"New College, Oxford",college|school,"Oxford, Oxfordshire, England",education
NewcomHack,"Newcome's school, Hackney",grammarschool|school,"Hackney, Middlesex, England",education
NorwichGS,Norwich grammar school,grammarschool|school,"Norwich, Norfolk, England",education
OrielOx,"Oriel College, Oxford",college|school,"Oxford, Oxfordshire, England",education
OscottCol,"St Mary's College, Oscott",college|school,"Oscott, Warwickshire, England",education
Oxf,Oxford University,school,"Oxford, Oxfordshire, England",education
PalgraSch,Palgrave School,dissentingacademy|school,"Palgrave, Suffolk, England",education
PembCam,"Pembroke College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
PembOx,"Pembroke College, Oxford",college|school,"Oxford, Oxfordshire, England",education
PeterCam,"Peterhouse, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
PlymGS,Plymouth grammar school,grammarschool|school,"Plymouth, Devonshire, England",education
PortsNav,"Royal Naval Academy, Portsmouth",military|school,"Portsmouth, Hampshire, England",education
PrincUn,College of New Jersey (Princeton University),college|school,"Princeton, New Jersey",education
QueenCam,"Queens' College, Cambridge",college|school,"Cambridge, Cambridgeshire, England",education
QueenOx,"Queen's College, Oxford",college|school,"Oxford, Oxfordshire, England",education
ReadingSch,Reading School,grammarschool|school,"Reading, Berkshire, England",education
ReptonGS,Repton School,grammarschool|school,"Repton, Derbyshire, England",education
RichmondGS,Richmond grammar school,grammarschool|school,"Richmond, Yorkshire, England",education
RiponGS,Ripon grammar school,grammarschool|school,"Ripon, Yorkshire, England",education
