id,occupation
AaArrow1823,Book
AaArrow1823,Communication
AaArrow1823,Civil
AaArrow1854,Book
AaArrow1854,Communication
AaArrow1854,Civil
AaArrow1854,Clergy
AaBurr1757,Writer
AaBurr1757,College headmaster
AaBurr1757,Clergy
AaBurr1836,Army
AaBurr1836,Political
AaChapm1850,Communication
AaChapm1850,Civil
AaChapm1850,Navy
AaChapm1850,Landed
AaFrank1777,Bank
AaFrank1777,Landed
AaGraha1818,Civil
AaGraha1818,Law
AaGraha1818,Navy
AaGraha1818,Theater
AaHart1756,Communication
AaHart1756,Clergy
AaHill1750,Writer
AaHill1750,Poet
AaHill1750,Dramatist
AaHill1750,Journalist
AaHill1750,Travel writer
AaHill1750,Theater
AaHill1750,Communication
AaWard1747,Book
AaWard1747,Book seller
AaWard1747,Communication
AbAddam1740,Communication
AbAtkin1848,Communication
AbBadco1797,Writer
AbBadco1797,Book seller
AbBadco1797,Communication
AbBadco1797,Book
AbBarne1850,Clergy
AbBarne1850,Civil
AbBooth1806,Writer
AbBooth1806,Clergy
AbBoyd1822,Civil
AbBoyd1822,Law
AbBoyer1729,Writer
AbBoyer1729,Journalist
AbBrace1832,Civil
AbBrace1832,Landed
AbBradl1783,Book seller
AbBradl1783,Printer
AbBradl1783,Communication
AbBradl1783,Book
AbBradl1783,Civil
AbBreck1792,Communication
AbBrews1874,Law
AbBrews1874,Civil
AbBrook1792,Writer
AbBrook1792,Science
AbBrook1792,Book seller
AbBrook1792,Communication
AbBrook1792,Book
AbCastr1757,Diplomacy
AbCastr1757,Civil
AbChamb1782,Landed
AbChamb1853,Bank
AbChapm1849,Navy
AbChapm1849,Communication
AbChapm1849,Landed
AbColle1843,Writer
AbColle1843,Professor
AbColle1843,Medicine
AbCombe1827,Manufacturing
AbCombe1827,Landed
AbConst1832,Manufacturing
AbCoope1868,Painter
AbCoope1868,Art
AbCreig1809,Political
AbCreig1809,Civil
AbCreig1809,Landed
AbCreig1809,Aristocracy
AbCrock1821,Writer
AbCrock1821,Printer
AbCrock1821,Book
AbCrock1821,Communication
AbCrock1821,Head master
AbDAuba1805,Science
AbDAuba1805,Army
AbDarby1763,Manufacturing
AbDarby1763,Landed
AbDarby1789,Manufacturing
AbDarby1789,Landed
AbDarby1794,Clergy
AbDavis1866,Book
AbDavis1866,Book seller
AbDavis1866,Communication
AbDavis1866,Landed
AbDawso1789,Writer
AbDawso1789,Biblical scholar
AbDawso1789,Clergy
AbDevon1783,Communication
AbDevon1783,Bank
AbDevon1783,Political
AbDevon1783,Landed
AbDixon1746,Communication
AbDixon1746,Landed
AbDixon1782,Civil
AbDixon1782,Manufacturing
AbDixon1782,Landed
AbDotti1852,Army
AbDotti1852,Political
AbDotti1852,Landed
AbDyson1818,Communication
AbElton1724,None
AbElton1728,Communication
AbElton1728,Manufacturing
AbElton1728,Political
AbElton1728,Civil
AbElton1728,Landed
AbElton1742,Communication
AbElton1742,Manufacturing
AbElton1742,Political
AbElton1742,Civil
AbElton1742,Landed
AbElton1761,Communication
AbElton1761,Civil
AbElton1761,Landed
AbElton1790,Law
AbElton1790,Civil
AbElton1790,Landed
AbElton1842,Clergy
AbElton1842,Civil
AbElton1842,Landed
AbEvans1737,Writer
AbEvans1737,Poet
AbEvans1737,Clergy
AbFarle1791,Writer
AbFarle1791,Antiquary
AbFarle1791,Librarian
AbFarle1791,Civil
AbFonne1753,Communication
AbGalla1849,Civil
AbGalla1849,Diplomacy
AbGolds1810,Bank
AbGolds1810,Communication
AbGompe1871,None
AbGower1849,Communication
AbGower1849,Bank
AbGower1849,Landed
AbGrime1832,Law
AbGrime1832,Landed
AbHaywa1884,Writer
AbHaywa1884,Poet
AbHaywa1884,Essayist
AbHaywa1884,Journalist
AbHaywa1884,Law
AbHaywa1884,Civil
AbHaywa1884,Landed
AbHolme1837,Writer
AbHolme1837,Antiquary
AbHolme1837,Clergy
AbHoubl1722,Communication
AbHoubl1722,Civil
AbHoubl1722,Bank
AbHume1772,Political
AbHume1772,Communication
AbHume1772,Landed
AbHume1838,Political
AbHume1838,Art collector
AbHume1838,Civil
AbHume1838,Navy
AbHume1838,Landed
AbJanss1765,Bank
AbJanss1765,Political
AbJanss1765,Landed
AbKetel1744,Law
AbKetel1744,Civil
AbKetel1744,Political
AbKetel1744,Landed
AbKetel1756,Landed
AbLangf1774,Writer
AbLangf1774,Dramatist
AbLangf1774,Book seller
AbLangf1774,Art dealer
AbLangf1774,Journalist
AbLangf1774,Communication
AbLangf1774,Art
AbLangf1774,Landed
AbLangf1817,Communication
AbLangf1817,Book
AbLangf1817,Book seller
AbLangf1817,Art
AbLangf1817,Art dealer
AbLangf1817,Landed
AbLawre1855,Communication
AbLawre1855,Political
AbLawre1855,Diplomacy
AbLendo1846,School master
AbLendo1846,Clergy
AbLinco1865,Law
AbLinco1865,Political
AbLocke1834,Oriental scholar
AbLocke1834,Librarian
AbLocke1834,Civil
AbLocke1834,Army
AbMarkl1728,Writer
AbMarkl1728,Poet
AbMarkl1728,Clergy
AbMills1828,Writer
AbMills1828,Science
AbMills1828,Manufacturing
AbMoivr1754,Science
AbMoore1822,Law
AbMoore1822,Political
AbMoore1822,Civil
AbMorri1822,Political
AbMorri1822,Civil
AbMorri1822,Law
AbMorri1822,Landed
AbMoyse1780,Medicine
AbMoyse1780,Landed
AbMoyse1831,Law
AbMoyse1831,Political
AbMoyse1831,Landed
AbNewla1807,Bank
AbNewma1799,Communication
AbOnge1800,Communication
AbOnge1800,Civil
AbOnge1800,Landed
AbOsler1903,Manufacturing
AbOsler1903,Science
AbOsori1777,Communication
AbPethe1812,Painter
AbPethe1812,Art
AbPitch1792,Communication
AbPitch1792,Civil
AbPitch1792,Landed
AbPole1841,Communication
AbPole1841,Sport
AbPole1841,Landed
AbPorta1809,Writer
AbPorta1809,Poet
AbPorta1809,Dramatist
AbPorta1809,Book seller
AbPorta1809,Book
AbPorta1809,Communication
AbPrado1782,Communication
AbPrado1782,Landed
AbProws1763,None
AbPryme1704,Antiquary
AbPryme1704,Clergy
AbPryme1704,Landed
AbRaimb1843,Painter
AbRaimb1843,Engraver
AbRaimb1843,Art
AbRam1740,Political
AbRam1740,Landed
AbRam1778,Political
AbRam1778,Landed
AbRam1823,Landed
AbRam1830,Political
AbRam1830,Civil
AbRam1830,Landed
AbRawli1780,Communication
AbRawli1803,Communication
AbRawli1803,Political
AbRawli1803,Landed
AbRawli1845,Sport
AbRawli1845,Civil
AbRawli1845,Landed
AbRedwo1788,Communication
AbRedwo1788,Landed
AbRedwo1838,Communication
AbRedwo1838,Landed
AbRees1825,Writer
AbRees1825,Antiquary
AbRees1825,School master
AbRees1825,Clergy
AbRhode1816,Antiquary
